,x1,y1,x2,y2,percent,class
0,56.65804,876.65137,81.28673,901.8994,0.92357683,6.0
1,608.44836,604.65393,657.7269,655.93677,0.9166411,1.0
2,521.2787,840.8048,547.09924,868.1398,0.8982969,6.0
3,238.7745,445.83804,263.53397,472.04898,0.889227,6.0
4,756.91956,563.0973,782.82434,590.2179,0.8753523,6.0
5,649.52185,808.69763,695.5228,857.99084,0.85032827,1.0
6,709.2361,569.6869,736.5664,595.17554,0.76159585,6.0
7,487.07983,132.08656,515.95557,186.91252,0.75208616,4.0
8,819.86646,542.1846,846.0066,569.78174,0.75176775,6.0
9,946.42773,19.772583,991.70776,66.731094,0.72715694,1.0
