                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8554,                  4.581,                 1.0923,                0.00107,                0.02222,                 0.0007,                0.00021,                  1.048,                 4.1397,                0.86146,                      0,                      0,                      0
                      2,                 1.7275,                  4.531,                 1.0363,                0.00118,                0.02222,                 0.0007,                0.00021,                 1.0524,                 4.1433,                0.86233,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                 1.6763,                 4.4841,                 1.0276,                0.00131,                0.02222,                0.00077,                0.00023,                 1.0583,                 4.1448,                0.86398,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 1.9228,                 4.4571,                 1.0823,                0.00142,                0.02222,                0.00087,                0.00026,                 1.0617,                 4.1445,                0.86522,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                 1.8055,                 4.4964,                 1.0215,                0.00153,                0.02222,                0.00083,                0.00025,                 1.1657,                 4.1434,                0.87126,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 1.7456,                 4.4916,                 1.0052,                0.00153,                0.02222,                0.00083,                0.00025,                 1.2783,                 4.1463,                0.88071,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 1.5682,                 4.3066,                0.97651,                0.00153,                0.02222,                0.00083,                0.00025,                 1.3272,                 4.1505,                 0.8813,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                 1.5645,                 4.1667,                0.97531,                0.00153,                0.02222,                0.00083,                0.00025,                 1.3255,                 4.1455,                0.88022,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 1.6464,                 4.0546,                 0.9474,                0.00236,                0.16667,                0.01239,                0.00867,                 1.3095,                 4.1481,                0.87645,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.5166,                 4.0441,                0.94175,                0.00251,                0.16667,                0.08314,                 0.0582,                 1.3089,                 4.1506,                0.87404,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.4928,                 3.8499,                0.96458,                 0.0057,                0.33333,                0.17167,                0.12017,                 1.2596,                 4.1407,                0.86854,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.5597,                 3.7208,                0.98533,                 0.0057,                0.33333,                0.19278,                0.11711,                 1.2127,                  4.124,                0.86496,             0.00012253,             0.00012253,             0.00012253
                     13,                 1.6902,                 3.4584,                0.98258,                0.00677,                0.35556,                0.22098,                 0.1352,                 1.1667,                 4.1058,                0.86366,             0.00013218,             0.00013218,             0.00013218
                     14,                 1.6631,                 3.3965,                0.97428,                0.01095,                    0.4,                0.27985,                0.17226,                 1.1447,                 4.0833,                0.86046,             0.00014159,             0.00014159,             0.00014159
                     15,                 1.6731,                 3.2724,                0.97312,                0.01123,                    0.4,                 0.2807,                0.17832,                  1.153,                 4.0633,                0.85866,             0.00015075,             0.00015075,             0.00015075
                     16,                 1.4059,                 2.7693,                0.91744,                0.01533,                0.44444,                0.28916,                0.20134,                 1.1695,                 4.0284,                0.85816,             0.00015966,             0.00015966,             0.00015966
                     17,                 1.5639,                 2.6549,                0.94573,                0.01341,                0.42222,                0.34521,                0.26908,                 1.2057,                 3.9977,                0.86357,             0.00016832,             0.00016832,             0.00016832
                     18,                 1.9343,                 2.6216,                0.99893,                0.01341,                0.42222,                0.34521,                0.26908,                 1.2057,                 3.9977,                0.86357,             0.00017674,             0.00017674,             0.00017674
                     19,                 1.9264,                  2.515,                0.97689,                0.01414,                0.42222,                0.34015,                0.26828,                 1.2051,                 3.9921,                0.86225,             0.00018491,             0.00018491,             0.00018491
                     20,                 1.7287,                 2.4131,                0.97362,                0.01414,                0.42222,                0.34015,                0.26828,                 1.2051,                 3.9921,                0.86225,             0.00019283,             0.00019283,             0.00019283
                     21,                 1.4211,                 2.4619,                0.94484,                0.01282,                    0.4,                0.34142,                0.27643,                 1.2403,                  3.949,                0.86621,              0.0002005,              0.0002005,              0.0002005
                     22,                 1.4554,                 2.2769,                0.92701,                0.01282,                    0.4,                0.34142,                0.27643,                 1.2403,                  3.949,                0.86621,             0.00020793,             0.00020793,             0.00020793
                     23,                 1.5209,                 2.0979,                0.94599,                0.02674,                0.51111,                0.43221,                0.31767,                 1.2764,                 3.9006,                0.86479,             0.00021511,             0.00021511,             0.00021511
                     24,                 1.7054,                 2.1505,                  0.953,                0.02674,                0.51111,                0.43221,                0.31767,                 1.2764,                 3.9006,                0.86479,             0.00022204,             0.00022204,             0.00022204
                     25,                 1.5881,                 2.0358,                0.91819,                0.04154,                0.66667,                0.56554,                0.34887,                 1.3214,                 3.8587,                0.86256,             0.00022872,             0.00022872,             0.00022872
                     26,                 1.5491,                 2.1336,                0.95068,                0.04154,                0.66667,                0.56554,                0.34887,                 1.3214,                 3.8587,                0.86256,             0.00023516,             0.00023516,             0.00023516
                     27,                 1.5461,                 1.9856,                0.95475,                0.05024,                    0.8,                0.67807,                0.35092,                 1.3273,                 3.8232,                0.85395,             0.00024134,             0.00024134,             0.00024134
                     28,                 1.4772,                 1.8254,                0.95793,                0.05024,                    0.8,                0.67807,                0.35092,                 1.3273,                 3.8232,                0.85395,             0.00024729,             0.00024729,             0.00024729
                     29,                  1.776,                 2.0425,                 0.9823,                0.05243,                0.84444,                0.71975,                0.32415,                 1.3804,                 3.7804,                0.86015,             0.00025298,             0.00025298,             0.00025298
                     30,                 1.4894,                 1.8819,                 0.9046,                0.05243,                0.84444,                0.71975,                0.32415,                 1.3804,                 3.7804,                0.86015,             0.00025843,             0.00025843,             0.00025843
