                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7117,                 3.6318,                 1.0475,                0.00621,                0.11111,                0.00371,                0.00184,                 1.2901,                 3.7803,                0.87631,                      0,                      0,                      0
                      2,                 1.4994,                 3.7306,                0.98032,                 0.0063,                0.11111,                0.00368,                0.00186,                 1.2776,                 3.7896,                0.87104,             1.2459e-05,             1.2459e-05,             1.2459e-05
                      3,                 1.6841,                 3.6279,                 1.0514,                 0.0063,                0.11111,                0.00364,                0.00184,                 1.2665,                 3.8015,                0.86855,             2.4835e-05,             2.4835e-05,             2.4835e-05
                      4,                 1.6024,                  3.428,                 1.0193,                 0.0024,                0.11111,                0.00163,                0.00093,                   1.25,                 3.8061,                0.86452,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      5,                 1.5113,                 3.5757,                0.95169,                0.00284,                0.13333,                0.00201,                0.00098,                 1.2364,                 3.8107,                 0.8613,              4.934e-05,              4.934e-05,              4.934e-05
                      6,                 1.6782,                 3.6871,                 1.0035,                0.04048,                0.67778,                0.09569,                0.05872,                 1.1549,                 2.8775,                0.84844,             6.1469e-05,             6.1469e-05,             6.1469e-05
                      7,                 1.5524,                 2.4614,                 1.0185,                0.29026,                    0.4,                0.41086,                0.29193,                 1.0151,                 1.8869,                0.83939,             7.3515e-05,             7.3515e-05,             7.3515e-05
                      8,                 1.4043,                 1.8267,                0.96675,                0.53468,                    0.7,                0.58302,                0.45489,                  0.833,                 1.3404,                0.82539,             8.5479e-05,             8.5479e-05,             8.5479e-05
                      9,                 1.2638,                 1.5044,                0.90464,                0.83654,                0.82222,                0.92937,                0.74425,                0.76981,                  1.144,                0.82393,              9.736e-05,              9.736e-05,              9.736e-05
                     10,                 1.2989,                 1.1167,                0.91011,                0.75295,                0.89586,                0.84196,                0.61874,                0.80975,                  1.608,                0.82963,             0.00010916,             0.00010916,             0.00010916
                     11,                 1.1448,                 1.0272,                  0.911,                0.70666,                0.94005,                0.71705,                0.52553,                0.83914,                 3.9522,                0.83349,             0.00012087,             0.00012087,             0.00012087
                     12,                 1.1261,                0.92308,                0.89304,                0.58719,                0.98248,                0.69423,                0.49015,                0.87463,                 8.6404,                 0.8362,             0.00013251,             0.00013251,             0.00013251
                     13,                 1.2571,                 1.0802,                0.92996,                  0.647,                0.98741,                0.71462,                0.55019,                0.87996,                 7.9665,                0.83692,             0.00014406,             0.00014406,             0.00014406
                     14,                  1.135,                   1.01,                0.90086,                0.62816,                0.94531,                 0.7334,                  0.566,                0.88683,                 6.5185,                0.83953,             0.00015553,             0.00015553,             0.00015553
                     15,                   1.14,                0.95037,                0.90569,                0.39863,                      1,                0.73243,                0.57464,                0.96355,                 9.1684,                 0.8491,             0.00016692,             0.00016692,             0.00016692
                     16,                 1.0837,                0.88487,                0.87611,                0.38691,                      1,                0.44617,                0.32323,                0.91901,                 16.748,                0.84599,             0.00017822,             0.00017822,             0.00017822
                     17,                 1.0203,                0.80428,                0.88291,                0.38458,                      1,                0.40076,                0.29061,                0.80693,                 26.131,                0.83581,             0.00018944,             0.00018944,             0.00018944
                     18,                 1.1009,                0.81823,                0.86518,                0.38458,                      1,                0.40076,                0.29061,                0.80693,                 26.131,                0.83581,             0.00020058,             0.00020058,             0.00020058
                     19,                 1.1869,                0.81447,                 0.8878,                0.38141,                      1,                0.40388,                 0.3154,                0.73734,                 26.566,                0.82966,             0.00021163,             0.00021163,             0.00021163
                     20,                 1.0497,                0.80633,                0.85481,                0.38141,                      1,                0.40388,                 0.3154,                0.73734,                 26.566,                0.82966,             0.00022261,             0.00022261,             0.00022261
                     21,                0.96572,                0.75879,                 0.8774,                0.39232,                      1,                0.41053,                0.33108,                 0.7061,                 22.364,                0.82493,              0.0002335,              0.0002335,              0.0002335
                     22,                0.96356,                0.70169,                0.83652,                0.39232,                      1,                0.41053,                0.33108,                 0.7061,                 22.364,                0.82493,             0.00024431,             0.00024431,             0.00024431
                     23,                 1.0424,                0.75177,                0.88663,                0.40385,                      1,                0.41233,                0.34236,                0.69243,                 22.415,                0.81962,             0.00025504,             0.00025504,             0.00025504
                     24,                 1.1024,                0.79905,                0.86209,                0.40385,                      1,                0.41233,                0.34236,                0.69243,                 22.415,                0.81962,             0.00026568,             0.00026568,             0.00026568
                     25,                 1.0864,                 0.7639,                0.84231,                 0.6877,                      1,                0.70774,                0.56859,                0.75212,                 2.3296,                0.82651,             0.00027624,             0.00027624,             0.00027624
                     26,                 1.0589,                0.89778,                0.86936,                 0.6877,                      1,                0.70774,                0.56859,                0.75212,                 2.3296,                0.82651,             0.00028672,             0.00028672,             0.00028672
                     27,                 1.0023,                0.76485,                0.85683,                0.68925,                0.93446,                0.86537,                 0.6442,                0.86917,                 1.3814,                0.83891,             0.00029712,             0.00029712,             0.00029712
                     28,                0.98455,                0.76103,                0.88439,                0.68925,                0.93446,                0.86537,                 0.6442,                0.86917,                 1.3814,                0.83891,             0.00030743,             0.00030743,             0.00030743
                     29,                 1.2047,                0.76368,                0.86747,                0.64146,                 0.9945,                0.84917,                0.55797,                 1.1127,                 1.3281,                0.87045,             0.00031766,             0.00031766,             0.00031766
                     30,                 1.0047,                 0.8147,                0.85495,                0.64146,                 0.9945,                0.84917,                0.55797,                 1.1127,                 1.3281,                0.87045,             0.00032781,             0.00032781,             0.00032781
                     31,                 1.0631,                0.92087,                0.87945,                0.65825,                      1,                0.76544,                0.49502,                 1.2331,                 1.2814,                0.88634,             0.00033788,             0.00033788,             0.00033788
                     32,                0.99248,                0.63023,                0.83345,                0.65825,                      1,                0.76544,                0.49502,                 1.2331,                 1.2814,                0.88634,             0.00034786,             0.00034786,             0.00034786
                     33,                 1.1449,                0.70905,                0.85684,                0.90247,                      1,                0.99375,                0.67272,                 1.0492,                 1.6687,                0.86303,             0.00035776,             0.00035776,             0.00035776
                     34,                0.95963,                0.72762,                0.82563,                0.90247,                      1,                0.99375,                0.67272,                 1.0492,                 1.6687,                0.86303,             0.00036758,             0.00036758,             0.00036758
                     35,                0.90255,                0.75935,                0.85996,                0.79514,                      1,                0.82917,                0.59813,                 0.7965,                  2.425,                0.83435,             0.00037732,             0.00037732,             0.00037732
                     36,                0.98081,                 0.7389,                0.87875,                0.79514,                      1,                0.82917,                0.59813,                 0.7965,                  2.425,                0.83435,             0.00038697,             0.00038697,             0.00038697
                     37,                0.92568,                0.74927,                0.84915,                0.56216,                      1,                0.82382,                0.62304,                0.69837,                   3.39,                0.82099,             0.00039654,             0.00039654,             0.00039654
                     38,                 1.2025,                0.69411,                0.88562,                0.56216,                      1,                0.82382,                0.62304,                0.69837,                   3.39,                0.82099,             0.00040603,             0.00040603,             0.00040603
                     39,                 1.2707,                0.79188,                0.88495,                0.71277,                      1,                0.99229,                0.80305,                0.67491,                 1.1213,                0.82053,             0.00041544,             0.00041544,             0.00041544
                     40,                0.90161,                0.81706,                0.84854,                0.71277,                      1,                0.99229,                0.80305,                0.67491,                 1.1213,                0.82053,             0.00042476,             0.00042476,             0.00042476
                     41,                0.91506,                0.77552,                0.85174,                0.94233,                      1,                0.99229,                0.79102,                0.73043,                0.71259,                0.82415,               0.000434,               0.000434,               0.000434
                     42,                0.99698,                0.82258,                0.88407,                0.94233,                      1,                0.99229,                0.79102,                0.73043,                0.71259,                0.82415,             0.00044316,             0.00044316,             0.00044316
                     43,                0.84484,                0.80782,                0.83931,                0.95579,                      1,                0.99083,                0.81268,                0.73517,                0.76218,                0.82504,             0.00045223,             0.00045223,             0.00045223
                     44,                0.97794,                0.65441,                0.83621,                0.95579,                      1,                0.99083,                0.81268,                0.73517,                0.76218,                0.82504,             0.00046123,             0.00046123,             0.00046123
                     45,                 1.0267,                0.76199,                0.83672,                0.96598,                      1,                0.99083,                0.77281,                0.81974,                0.71751,                0.83506,             0.00047014,             0.00047014,             0.00047014
                     46,                0.88256,                0.59242,                0.83136,                0.96598,                      1,                0.99083,                0.77281,                0.81974,                0.71751,                0.83506,             0.00047897,             0.00047897,             0.00047897
